"filename", "language", "CSS", "HTML", "TypeScript", "XML", "comment", "blank", "total"
"c:\projects\shopApp3\src\app\app-routing.module.ts", "TypeScript", 0, 0, 14, 0, 0, 3, 17
"c:\projects\shopApp3\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\app.component.html", "HTML", 0, 6, 0, 0, 0, 0, 6
"c:\projects\shopApp3\src\app\app.component.spec.ts", "TypeScript", 0, 0, 31, 0, 0, 5, 36
"c:\projects\shopApp3\src\app\app.component.ts", "TypeScript", 0, 0, 31, 0, 0, 4, 35
"c:\projects\shopApp3\src\app\app.module.ts", "TypeScript", 0, 0, 38, 0, 0, 3, 41
"c:\projects\shopApp3\src\app\modules\admin\admin-routing.module.ts", "TypeScript", 0, 0, 19, 0, 0, 3, 22
"c:\projects\shopApp3\src\app\modules\admin\admin.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\admin\admin.component.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\projects\shopApp3\src\app\modules\admin\admin.module.ts", "TypeScript", 0, 0, 30, 0, 0, 4, 34
"c:\projects\shopApp3\src\app\modules\admin\pages\default\default.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\admin\pages\default\default.component.html", "HTML", 0, 5, 0, 0, 0, 0, 5
"c:\projects\shopApp3\src\app\modules\admin\pages\default\default.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\admin\pages\default\default.component.ts", "TypeScript", 0, 0, 11, 0, 0, 5, 16
"c:\projects\shopApp3\src\app\modules\admin\pages\ledger\ledger-form\ledger-form.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\projects\shopApp3\src\app\modules\admin\pages\ledger\ledger-form\ledger-form.component.html", "HTML", 0, 29, 0, 0, 0, 3, 32
"c:\projects\shopApp3\src\app\modules\admin\pages\ledger\ledger-form\ledger-form.component.spec.ts", "TypeScript", 0, 0, 20, 0, 0, 6, 26
"c:\projects\shopApp3\src\app\modules\admin\pages\ledger\ledger-form\ledger-form.component.ts", "TypeScript", 0, 0, 79, 0, 0, 15, 94
"c:\projects\shopApp3\src\app\modules\admin\pages\ledger\ledger-list\ledger-list.component.css", "CSS", 0, 0, 0, 0, 0, 1, 1
